发布日期,内容标题,视频类型,内容分类,播放量,点赞数,评论数,转发数,收藏数
2025-11-01,新手必看：3分钟学会剪辑技巧,短视频,vlog日常,125800,8520,432,1280,2100
2025-11-03,周末Vlog｜城市探店一日游记,短视频,旅行记录,89300,6210,318,890,1450
2025-11-05,2025年自媒体运营趋势解读,长视频,知识科普,45200,3890,567,320,980
2025-11-08,直播回放：粉丝问答专场,直播回放,生活技巧,67800,5100,892,210,760
2025-11-10,5个提升完播率的小技巧,短视频,生活技巧,156200,11200,678,2340,3200
2025-11-12,好物分享｜平价拍摄设备推荐,图文,美食探店,38700,2940,245,180,1120
2025-11-15,深度测评：三款剪辑软件对比,长视频,科技测评,98400,7650,1023,560,2890
2025-11-18,热点解读：平台算法最新变化,长视频,知识科普,52300,4100,890,450,1340
2025-11-20,日常碎片｜幕后花絮合集,短视频,vlog日常,71200,4800,156,340,890
2025-11-22,直播回放：新手起号实战分享,直播回放,知识科普,112500,8900,1560,380,2100
2025-11-25,教程：封面设计从0到1,长视频,生活技巧,87600,6540,445,290,1780
2025-11-28,粉丝投稿作品点评第三期,短视频,vlog日常,94500,7200,980,670,1560
2025-12-01,年度盘点：我的创作成长之路,长视频,知识科普,203400,18500,2340,1890,5600
2025-12-03,干货｜如何提高互动率,短视频,生活技巧,41800,3200,512,220,870
2025-12-05,探店｜网红咖啡馆真实体验,短视频,美食探店,108600,8100,423,920,1920
2025-12-08,直播回放：变现路径全解析,直播回放,知识科普,134200,10200,1780,450,2450
2025-12-10,挑战：24小时涨粉1000可能吗,短视频,游戏攻略,187500,15200,2890,4560,4100
2025-12-12,数据复盘：11月内容表现分析,长视频,知识科普,35600,2800,678,190,720
2025-12-15,合作推广｜学习App使用体验,短视频,科技测评,76500,5400,312,780,1340
2025-12-18,年终总结：2025创作计划公布,长视频,生活技巧,145800,12800,1890,1230,3780
